스킬 ID,스킬 기본 수치,시전 진영,스킬 계수,스킬 타입 ,지속 턴,스킬 원소 속성 ,스킬 PP,스킬 공격위치,스킬 이름 스트링키,스킬 툴팁 스트링키,스킬 사운드,스킬 아이콘,스킬 스프라이트,주석
30010,50,1,1.2,0,0,3,20,1,습격 발톱,날카로운 발톱으로 적의 약점을 빠르게 파고들어 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,습격 발톱
30011,50,1,1.3,0,0,0,10,0,플라즈마 탄,에테르 차원의 문을 열어 불규칙하고 강력한 에너지를 투사합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,플라즈마 탄
30012,50,1,2.5,0,0,2,5,0,자폭 명령,적의 방어 허점을 정확히 분석하여 매우 치명적인 타격을 가합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,자폭 명령
30013,50,1,0,5,2,3,10,1,신경 차단,적의 신경 신호를 방해하여 일정 시간 동안 공격력을 급감시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,신경 차단
30014,50,1,1.4,0,0,0,12,0,에메랄드 섬광,성스러운 에테르 빛을 뿜어내어 자신을 보호하는 강력한 방어막을 형성합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,에메랄드 섬광
30015,50,1,1.1,0,0,2,15,1,용암 흐름,자신의 잔상을 투영하여 적의 공격을 분산시키고 피해를 흡수합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,용암 흐름
30016,50,1,1,0,0,1,15,2,절대영도 안개,신체를 안개처럼 흐릿하게 만들어 적의 공격 효율을 떨어뜨립니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,절대영도 안개
30017,50,0,0.6,2,3,3,8,6,위상 방벽,일시적으로 차원을 이탈하여 받는 모든 피해를 상쇄하는 막을 생성합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,위상 방벽
30018,50,0,0,3,2,0,10,1,과부하 충전,코어의 출력을 한계치까지 끌어올려 공격력을 비약적으로 상승시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,과부하 충전
30019,50,1,0,6,3,2,10,3,엔진 과열,주변으로 퍼져나가는 에너지 파동을 일으켜 다수의 적을 동시에 공격합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,엔진 과열
30020,50,1,1.6,0,0,1,10,4,수압 커터,특수 입자를 살포하여 적의 신경을 진정시키고 행동 속도를 억제합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,수압 커터
30021,50,1,0.9,0,0,0,20,6,테슬라 쇼크,고압의 전기를 연쇄적으로 방출하여 적들에게 전격 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,테슬라 쇼크
30022,50,0,0.4,1,0,3,12,1,시스템 수리,나노 봇을 가동하여 손상된 기체를 수리하고 체력을 회복합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,시스템 수리
30023,50,1,0,5,2,3,10,6,중력 붕괴,강렬한 빛과 전기 충격을 동시에 가해 적의 시야를 차단하고 공격합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,중력 붕괴
30024,50,1,1.5,0,0,2,10,0,버닝 해머,화염 에너지를 응축한 타격으로 지면을 내리쳐 화염 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,버닝 해머
30025,50,1,1.1,0,0,0,15,1,일렉트릭 넷,전격 에너지를 한 점에 모아 적에게 정밀하고 빠르게 발사합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,일렉트릭 넷
30026,50,1,1.3,0,0,1,12,3,빙하 화살,극도로 높은 열기를 방출하여 적의 장갑을 녹이고 큰 피해를 줍니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,빙하 화살
30027,50,0,0,4,4,3,10,0,고대 가속,적의 인지 능력을 교란하는 동시에 자신의 기동력을 대폭 강화합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,고대 가속
30028,50,1,1.2,0,0,3,20,0,금속 베기,눈에 보이지 않는 속도로 적을 연속해서 베어 가공할 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,금속 베기
30029,50,1,1.3,0,0,2,12,0,체인소 슬래시,회전하는 톱날로 적을 강하게 내려찍어 치명적인 물리 피해를 줍니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,체인소 슬래시
30030,50,1,1.1,0,0,1,15,1,오일 스프레이,인화성 오일을 넓게 살포하여 적들의 이동을 방해하고 약화시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,오일 스프레이
30031,50,1,1.2,0,0,0,12,2,쇼크 코일,대상을 고온으로 가열하여 내부 시스템에 심각한 과부하 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,쇼크 코일
30032,50,1,1.9,0,0,2,5,4,벙커 버스터,보조 엔진을 가동하여 짧은 시간 동안 폭발적인 이동 속도를 얻습니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,벙커 버스터
30033,50,1,1.4,0,0,1,10,0,고압 증기 포,뜨거운 고압 증기를 분사하여 근접한 적들에게 광역 화상을 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,고압 증기 포
30034,50,1,1,0,0,0,15,3,섬광 쇼크,전자기 펄스를 동반한 섬광을 터뜨려 적 전원의 기능을 일시 저하시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,섬광 쇼크
30035,50,0,0.6,1,0,2,8,0,긴급 용접,주변의 잔해를 급속 융합하여 외장 장갑을 보강하고 체력을 회복합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,긴급 용접
30036,50,0,0.4,2,3,0,10,1,자기장 장막,강력한 자기장을 형성하여 적의 투사체를 굴절시키고 자신을 보호합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,자기장 장막
30037,50,1,0.8,0,0,2,12,6,화염 방사,전방을 향해 멈추지 않는 화염의 줄기를 뿜어내어 적을 태워버립니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,화염 방사
30038,50,0,0,4,2,3,10,1,엔진 가열,엔진의 회전수를 높여 공격 효율과 파괴력을 동시에 상승시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,엔진 가열
30039,50,1,1.3,0,0,1,10,5,극저온 분사,절대영도에 가까운 냉기를 분사하여 적을 얼어붙게 만들고 피해를 줍니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,극저온 분사
30040,50,1,0,6,3,0,10,0,전압 과부하,한계를 넘은 전력을 방출하여 자신 주변의 모든 것을 파괴합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,전압 과부하
30041,50,1,1.6,0,0,3,10,0,유압 펀치,거대한 유압 실린더의 힘으로 적을 강타하여 압도적인 충격을 전달합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,유압 펀치
30042,50,1,1.5,0,0,0,8,2,볼트 소용돌이,전격 에너지가 소용돌이치는 구체를 생성하여 지속적인 전격 피해를 줍니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,볼트 소용돌이
30043,50,1,0,5,2,2,10,6,용광로 열기,신체 내부의 열기를 대기로 방출하여 적들의 접근을 막고 피해를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,용광로 열기
30044,50,1,1.4,0,0,1,12,3,워터 캐논,주포에 모든 에너지를 집속하여 일직선상의 모든 적을 궤멸시키는 포격을 가합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,워터 캐논
30045,50,1,2.5,0,0,2,3,6,둠스데이,시스템의 모든 제한을 해제하고 전장에 파멸적인 에너지 폭발을 일으킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,둠스데이
30201,30,1,0.8,0,0,2,999,0,오버로드 프로토콜,전열에 낮은 데미지를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,전열에 낮은 데미지를 입힙니다.
30202,0,0,0,3,5,3,999,6,코어 리미트 해제,내부 코어를 가열하여 보스의 공격력을 대폭 상승시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,내부 코어를 가열하여 보스의 공격력을 대폭 상승시킵니다.
30203,0,0,0,3,5,3,999,6,멜트다운 임박,엔진 오버드라이브를 가동하여 공격력을 중첩 상승시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,엔진 오버드라이브를 가동하여 공격력을 중첩 상승시킵니다.
30204,0,1,0,5,3,1,999,6,여왕의 부식성 안개,전체 적에게 공격력 디버프를 부여합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,전체 적에게 공격력 디버프를 부여합니다.
30205,0,0,0,3,9,3,999,6,원시의 공명,자신의 기운을 강화하여 다음에 부여할 디버프 수치를 높입니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,자신의 기운을 강화하여 다음에 부여할 디버프 수치를 높입니다.
30206,150,1,0,0,0,3,999,6,종말의 포자,계수 없이 고정된 강력한 데미지를 적 전체에 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,계수 없이 고정된 강력한 데미지를 적 전체에 입힙니다.
30207,50,0,0.2,2,2,3,999,6,에테르 수호막,낮은 계수의 보호막을 자신에게 전개합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,낮은 계수의 보호막을 자신에게 전개합니다.
30208,0,0,2,1,0,0,999,6,아카이브 복구,높은 계수로 자신의 손상된 체력을 모두 회복합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,높은 계수로 자신의 손상된 체력을 모두 회복합니다.
30209,250,1,0,0,0,0,999,1,심판의 천둥,전중열에 계수 없는 매우 높은 고정 데미지를 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,전중열에 계수 없는 매우 높은 고정 데미지를 입힙니다.
11001,50,1,1.1,0,0,2,25,0,크러시 스윙,불타는 배트로 전열을 강하게 타격합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,크러시 스윙
11002,60,0,0,2,2,3,10,0,근성 베리어,자신의 깡으로 전열에 보호막을 생성합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,근성 베리어
11003,70,1,1.5,0,0,2,8,1,홈런 익스플로전,전중열을 한꺼번에 날려버리는 강력한 일격.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,홈런 익스플로전
11004,40,1,1,0,0,2,20,0,웍 파이어,뜨겁게 달궈진 웍으로 전열을 공격합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,웍 파이어
11005,0,0,0,3,3,3,15,6,특제 보양식,아군 전체의 공격력을 크게 상승시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,특제 보양식
11006,30,1,0.5,6,2,2,12,6,끓는 기름,적 전체에 기름을 뿌려 속도를 낮춥니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,끓는 기름
11007,40,1,0.9,0,0,2,20,0,샤우팅 비트,고주파 음파로 전열 적에게 화상을 입힙니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,샤우팅 비트
11008,50,1,1.2,0,0,2,10,6,오버드라이브,화려한 무대 연출과 함께 적 전체를 폭격합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,오버드라이브
11009,0,0,0,3,2,3,5,6,피날레 버프,자신의 열정을 불태워 아군 전체 공업을 부여합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,피날레 버프
11010,55,1,1.2,0,0,1,20,0,앵커 크래시,거대한 물의 닻으로 전열을 내리찍습니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,앵커 크래시
11011,0,0,0,4,3,3,15,0,레스큐 무브,전열 아군에게 신속한 이동 속도를 부여합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,레스큐 무브
11012,40,1,1,6,2,1,12,6,빙결 연계,차가운 수류로 적 전체의 속도를 낮춥니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,빙결 연계
11013,30,1,0.8,0,0,1,25,0,진정제 투여,차가운 진정 액체로 전열을 찌릅니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,진정제 투여
11014,60,0,0.5,1,0,3,15,0,응급 처치,전열 아군의 체력을 즉시 회복시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,응급 처치
11015,40,0,0.3,1,2,1,10,6,리커버리 미스트,아군 전체에 치유의 안개를 뿌려 지속 회복합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,리커버리 미스트
11016,35,1,0.7,0,0,1,25,0,빗방울 튕기기,우산 끝에서 물방울을 튕겨 전열을 공격합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,빗방울 튕기기
11017,40,0,0.2,1,0,3,15,6,맑음 뒤 비,아군 전체에 비를 내려 소량 회복하고 정화합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,맑음 뒤 비
11018,0,1,0,5,3,1,8,6,집중 호우,적 전체에 폭우를 내려 공격력을 약화시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,집중 호우
11019,45,1,1.3,0,0,0,20,0,볼트 돌진,바이크의 가속으로 전열을 들이받습니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,볼트 돌진
11020,40,1,1.1,0,0,0,15,1,일렉트릭 체인,전중열에 전기가 흐르는 체인을 휘두릅니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,일렉트릭 체인
11021,0,1,0,6,2,0,10,6,번개 표식,적 전체에 전류를 흘려 속도를 크게 낮춥니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,번개 표식
11022,30,1,1,0,0,0,20,0,전격 제압,테이저 건으로 전열의 적을 감전시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,전격 제압
11023,30,1,0.4,5,2,0,15,2,마비 탄환,중열의 적을 마비시켜 공격력을 깎습니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,마비 탄환
11024,50,1,1.2,0,0,0,10,3,택티컬 버스트,중후열을 향해 전기탄을 난사합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,택티컬 버스트
11025,45,1,1.1,0,0,0,20,0,레이저 비트,드론을 조종하여 전열에 레이저를 쏩니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,레이저 비트
11026,0,0,0,3,3,3,12,6,타겟 락온,적의 약점을 분석해 아군 전체 공업을 부여합니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,타겟 락온
11027,50,1,1.3,0,0,0,10,4,시스템 멜트,후열의 기계 장치를 해킹해 폭발시킵니다.,Resources/Sound/사운드명.mp3,Resources/Image/이미지명.png,Resources/prefeb/효과명.prefab,시스템 멜트
